region_id,month,enrolments,biometric_updates
Puducherry,2025-09,1,12
Puducherry,2025-09,1,3
Puducherry,2025-09,1,6
Puducherry,2025-09,1,1
Puducherry,2025-09,1,15
Puducherry,2025-09,1,36
Puducherry,2025-09,1,16
Puducherry,2025-09,1,6
Puducherry,2025-09,1,4
Puducherry,2025-09,1,1
Puducherry,2025-09,1,2
Puducherry,2025-09,1,27
Puducherry,2025-09,1,4
Puducherry,2025-09,1,4
Puducherry,2025-09,1,10
Puducherry,2025-09,1,3
Puducherry,2025-09,1,12
Puducherry,2025-09,1,1
Puducherry,2025-09,1,3
Puducherry,2025-09,1,9
Puducherry,2025-09,1,31
Puducherry,2025-09,1,8
Puducherry,2025-09,1,1
Puducherry,2025-09,1,18
Puducherry,2025-09,1,2
Puducherry,2025-09,1,26
Puducherry,2025-09,1,11
Puducherry,2025-09,1,12
Puducherry,2025-09,1,3
Puducherry,2025-09,1,6
Puducherry,2025-09,1,1
Puducherry,2025-09,1,15
Puducherry,2025-09,1,36
Puducherry,2025-09,1,16
Puducherry,2025-09,1,6
Puducherry,2025-09,1,4
Puducherry,2025-09,1,1
Puducherry,2025-09,1,2
Puducherry,2025-09,1,27
Puducherry,2025-09,1,4
Puducherry,2025-09,1,4
Puducherry,2025-09,1,10
Puducherry,2025-09,1,3
Puducherry,2025-09,1,12
Puducherry,2025-09,1,1
Puducherry,2025-09,1,3
Puducherry,2025-09,1,9
Puducherry,2025-09,1,31
Puducherry,2025-09,1,8
Puducherry,2025-09,1,1
Puducherry,2025-09,1,18
Puducherry,2025-09,1,2
Puducherry,2025-09,1,26
Puducherry,2025-09,1,11
Puducherry,2025-09,5,25
Puducherry,2025-09,5,17
Puducherry,2025-09,5,1
Puducherry,2025-09,5,2
Puducherry,2025-09,5,42
Puducherry,2025-09,5,5
Puducherry,2025-09,5,2
Puducherry,2025-09,5,8
Puducherry,2025-09,5,6
Puducherry,2025-09,5,9
Puducherry,2025-09,5,1
Puducherry,2025-09,5,28
Puducherry,2025-09,5,2
Puducherry,2025-09,5,14
Puducherry,2025-09,5,4
Puducherry,2025-09,5,18
Puducherry,2025-09,5,10
Puducherry,2025-09,5,10
Puducherry,2025-09,5,9
Puducherry,2025-09,5,3
Puducherry,2025-09,5,18
Puducherry,2025-09,5,2
Puducherry,2025-09,5,1
Puducherry,2025-09,5,14
Puducherry,2025-09,5,27
Puducherry,2025-09,1,21
Puducherry,2025-09,1,3
Puducherry,2025-09,1,30
Puducherry,2025-09,1,16
Puducherry,2025-09,1,13
Puducherry,2025-09,1,10
Puducherry,2025-09,1,20
Puducherry,2025-09,1,5
Puducherry,2025-09,1,3
Puducherry,2025-09,1,11
Puducherry,2025-09,1,1
Puducherry,2025-09,1,2
Puducherry,2025-09,1,29
Puducherry,2025-09,1,26
Puducherry,2025-09,1,6
Puducherry,2025-09,1,9
Puducherry,2025-09,1,2
Puducherry,2025-09,1,2
Puducherry,2025-09,1,10
Puducherry,2025-09,1,25
Puducherry,2025-09,1,1
Puducherry,2025-09,1,1
Puducherry,2025-09,1,13
Puducherry,2025-09,1,8
Puducherry,2025-09,1,19
Puducherry,2025-09,1,5
Puducherry,2025-09,3,21
Puducherry,2025-09,3,3
Puducherry,2025-09,3,30
Puducherry,2025-09,3,16
Puducherry,2025-09,3,13
Puducherry,2025-09,3,10
Puducherry,2025-09,3,20
Puducherry,2025-09,3,5
Puducherry,2025-09,3,3
Puducherry,2025-09,3,11
Puducherry,2025-09,3,1
Puducherry,2025-09,3,2
Puducherry,2025-09,3,29
Puducherry,2025-09,3,26
Puducherry,2025-09,3,6
Puducherry,2025-09,3,9
Puducherry,2025-09,3,2
Puducherry,2025-09,3,2
Puducherry,2025-09,3,10
Puducherry,2025-09,3,25
Puducherry,2025-09,3,1
Puducherry,2025-09,3,1
Puducherry,2025-09,3,13
Puducherry,2025-09,3,8
Puducherry,2025-09,3,19
Puducherry,2025-09,3,5
Puducherry,2025-09,1,21
Puducherry,2025-09,1,3
Puducherry,2025-09,1,30
Puducherry,2025-09,1,16
Puducherry,2025-09,1,13
Puducherry,2025-09,1,10
Puducherry,2025-09,1,20
Puducherry,2025-09,1,5
Puducherry,2025-09,1,3
Puducherry,2025-09,1,11
Puducherry,2025-09,1,1
Puducherry,2025-09,1,2
Puducherry,2025-09,1,29
Puducherry,2025-09,1,26
Puducherry,2025-09,1,6
Puducherry,2025-09,1,9
Puducherry,2025-09,1,2
Puducherry,2025-09,1,2
Puducherry,2025-09,1,10
Puducherry,2025-09,1,25
Puducherry,2025-09,1,1
Puducherry,2025-09,1,1
Puducherry,2025-09,1,13
Puducherry,2025-09,1,8
Puducherry,2025-09,1,19
Puducherry,2025-09,1,5
Puducherry,2025-09,1,11
Puducherry,2025-09,1,1
Puducherry,2025-09,1,2
Puducherry,2025-09,1,4
Puducherry,2025-09,1,29
Puducherry,2025-09,1,17
Puducherry,2025-09,1,8
Puducherry,2025-09,1,1
Puducherry,2025-09,1,14
Puducherry,2025-09,1,23
Puducherry,2025-09,1,12
Puducherry,2025-09,1,1
Puducherry,2025-09,1,23
Puducherry,2025-09,1,6
Puducherry,2025-09,1,6
Puducherry,2025-09,1,25
Puducherry,2025-09,1,2
Puducherry,2025-09,1,9
Puducherry,2025-09,1,1
Puducherry,2025-09,1,10
Puducherry,2025-09,1,3
Puducherry,2025-09,1,5
Puducherry,2025-09,1,3
Puducherry,2025-09,1,25
Puducherry,2025-09,1,11
Puducherry,2025-09,1,1
Puducherry,2025-09,1,2
